любовь андреевна 	133
у меня 	24
я не 	23
не могу 	20
ничего не 	18
что ж 	17
вишневый сад 	15
у вас 	14
сквозь слезы 	13
что же 	13
шарлотта ивановна 	12
не знаю 	12
и я 	12
у нас 	11
если бы 	11
и не 	11
ермолай алексеич 	10
любови андреевне 	10
а теперь 	10
вы не 	10
что вы 	9
а я 	9
и в 	9
слышно как 	9
с вами 	9
каждый день 	8
со мной 	8
так и 	8
вы подумайте 	8
с ним 	8
у тебя 	8
а вы 	8
в середину 	8
да и 	8
уже не 	8
лопахин что 	7
самом деле 	7
уходит варя 	7
боже мой 	7
в дверь 	7
варя я 	7
и все 	7
гаев а 	7
леонид андреич 	7
все равно 	7
в этом 	7
для чего 	7
андреевна и 	7
не понимаю 	7
что ты 	6
я в 	6
как будто 	6
в самом 	6
аня и 	6
и теперь 	6
в париж 	6
я так 	6
играет на 	6
на биллиарде 	6
лопахин да 	6
андреевна я 	6
я вас 	6
андреевна что 	6
тотчас же 	6
меня в 	6
что мне 	6
трофимов в 	6
в зале 	6
в залу 	6
двадцать два 	5
два несчастья 	5
и шарлотта 	5
теперь я 	5
аня я 	5
у нее 	5
в дверях 	5
из парижа 	5
желтого в 	5
в угол 	5
к себе 	5
уходит любовь 	5
я люблю 	5
вы все 	5
что я 	5
так много 	5
не в 	5
в городе 	5
на часы 	5
только в 	5
и если 	5
андреевна это 	5
а ты 	5
поглядев на 	5
варя сердито 	5
она не 	5
же ты 	5
аня аня 	5
за ним 	5
в город 	5
лопахин я 	5
тихо напевает 	5
я уже 	5
трофимов да 	5
я уйду 	5
я могу 	5
в саду 	4
хоть бы 	4
за границей 	4
когда я 	4
так что 	4
через сцену 	4
ни одного 	4
варя в 	4
такая же 	4
ты все 	4
знаю что 	4
будто я 	4
взглянув на 	4
надо бы 	4
руками и 	4
варя сквозь 	4
ничего нет 	4
потом в 	4
в москву 	4
яша с 	4
я ее 	4
идет к 	4
о чем 	4
входят любовь 	4
гаев кого 	4
в харьков 	4
в год 	4
что он 	4
андреевна а 	4
варя и 	4
вот они 	4
а там 	4
гаев да 	4
не надо 	4
но тотчас 	4
ты не 	4
все еще 	4
и ты 	4
душа моя 	4
все же 	4
только вот 	4
 и 	4
я теперь 	4
не люблю 	4
же я 	4
а тут 	4
 не 	4
зачем же 	4
а у 	4
я желаю 	4
лопахин в 	4
 это 	4
прошу вас 	4
я все 	4
это правда 	4
как в 	4
ли я 	4
выше любви 	4
вишневого сада 	4
так долго 	4
удивляясь вы 	4
со слезами 	4
вас я 	4
в больницу 	4
сестра моя 	4
 лет 	3
начальник станции 	3
в комнату 	3
же это 	3
по крайней 	3
крайней мере 	3
лопахин прислушивается 	3
пауза любовь 	3
я был 	3
отец мой 	3
андреевна как 	3
вот в 	3
в этой 	3
только что 	3
что вот 	3
много а 	3
так нельзя 	3
он в 	3
в пиджаке 	3
пиджаке и 	3
говорит в 	3
лопахин и 	3
не может 	3
на стул 	3
вот как 	3
как бы 	3
лопахин а 	3
он меня 	3
я сейчас 	3
с собой 	3
в пальто 	3
плачет и 	3
все такая 	3
глядит в 	3
бы я 	3
опять ты 	3
душечка моя 	3
моя приехала 	3
я на 	3
не осталось 	3
ничего у 	3
и на 	3
ну что 	3
вот так 	3
бы и 	3
ведь он 	3
отчего вы 	3
все говорят 	3
в париже 	3
бы все 	3
какой вы 	3
быстро уходит 	3
аня задумчиво 	3
шесть лет 	3
как я 	3
петя трофимов 	3
хлопочет около 	3
эх ты 	3
ты недотёпа 	3
от радости 	3
андреевна гаев 	3
как это 	3
с тобой 	3
идет гаев 	3
как ты 	3
андреевна она 	3
себе и 	3
я сплю 	3
на вас 	3
про меня 	3
бы только 	3
мой отец 	3
в сильном 	3
надо мной 	3
а без 	3
гаев и 	3
из кармана 	3
за долги 	3
сад и 	3
под дачи 	3
то вы 	3
тысяч в 	3
вас не 	3
алексеич лопахин 	3
то я 	3
этот дом 	3
милый мой 	3
это только 	3
сад лопахин 	3
раз в 	3
никто не 	3
фирс фирс 	3
где же 	3
да это 	3
такой же 	3
кладет в 	3
в рот 	3
все смеются 	3
андреевна о 	3
до свиданция 	3
не говорите 	3
он хороший 	3
двести сорок 	3
сорок рублей 	3
и что 	3
андреевна глядит 	3
меня не 	3
обнимает его 	3
и тихо 	3
тихо плачет 	3
варя что 	3
же делать 	3
облезлый барин 	3
еще студент 	3
к двери 	3
мне бы 	3
андреевна нет 	3
андреевна ну 	3
пищик и 	3
очень много 	3
много и 	3
хорошо бы 	3
в ярославль 	3
она хорошая 	3
в четверг 	3
это ужасно 	3
не будет 	3
аню и 	3
это время 	3
дядя варя 	3
под руку 	3
занавес действие 	3
яша и 	3
шарлотта в 	3
меня нет 	3
достает из 	3
на гитаре 	3
пауза я 	3
я знаю 	3
а то 	3
или нет 	3
одно слово 	3
варя из 	3
на кухне 	3
зачем так 	3
сию минуту 	3
как вы 	3
нет не 	3
а он 	3
за мной 	3
утирает слезы 	3
на свете 	3
очень хорошо 	3
теперь все 	3
трофимов аня 	3
